customer_id,first_name,last_name,gender,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,address,postcode,property_valuation
1,Laraine,Medendorp,Female,1953-10-12,Executive Secretary,Health,Mass Customer,0,True,060 Morning Avenue,2016,10
2,Eli,Bockman,Male,1980-12-16,Administrative Officer,Financial Services,Mass Customer,0,True,6 Meadow Vale Court,2153,10
3,Arlin,Dearle,Male,1954-01-20,Recruiting Manager,Property,Mass Customer,0,True,0 Holy Cross Court,4211,9
4,Talbot,,Male,1961-10-03,,IT,Mass Customer,0,False,17979 Del Mar Point,2448,4
5,Sheila-kathryn,Calton,Female,1977-05-13,Senior Editor,,Affluent Customer,0,True,9 Oakridge Court,3216,9
6,Curr,Duckhouse,Male,1966-09-16,,Retail,High Net Worth,0,True,4 Delaware Trail,2210,9
7,Fina,Merali,Female,1976-02-23,,Financial Services,Affluent Customer,0,True,49 Londonderry Lane,2650,4
8,Rod,Inder,Male,1962-03-30,Media Manager I,,Mass Customer,0,False,97736 7th Trail,2023,12
9,Mala,Lind,Female,1973-03-10,Business Systems Development Analyst,Agriculture,Affluent Customer,0,True,93405 Ludington Park,3044,8
10,Fiorenze,Birdall,Female,1988-10-11,Senior Quality Engineer,Financial Services,Mass Customer,0,True,44339 Golden Leaf Alley,4557,4
11,Uriah,Bisatt,Male,1954-04-30,,Property,Mass Customer,0,False,2 Sutherland Street,3799,6
12,Sawyere,Flattman,Male,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,0,False,9 Mcbride Trail,2760,8
13,Gabriele,Norcross,Male,1955-02-15,Developer I,Financial Services,High Net Worth,0,True,9861 New Castle Avenue,2428,9
14,Rayshell,Kitteman,Female,1983-03-25,Account Executive,Financial Services,Affluent Customer,0,False,52 Moland Street,3331,4
15,Erroll,Radage,Male,2000-07-13,Junior Executive,Manufacturing,Mass Customer,0,False,82391 Kensington Lane,3058,9
16,Harlin,Parr,Male,1977-02-27,Media Manager IV,,Mass Customer,0,True,092 2nd Alley,2135,12
17,Heath,Faraday,Male,1962-03-19,Sales Associate,,Affluent Customer,0,True,59 Spaight Circle,2233,9
18,Marjie,Neasham,Female,1967-07-06,Professor,,Affluent Customer,0,False,032 Bartelt Crossing,2444,8
19,Sorcha,Keyson,Female,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,0,False,18 Jenna Center,2650,7
20,Basile,Firth,Male,1980-08-13,Project Manager,Manufacturing,Mass Customer,0,False,3 Cordelia Plaza,2153,10
21,Mile,Cammocke,Male,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,0,True,28 5th Center,4413,3
22,Deeanne,Durtnell,Female,1962-12-10,,IT,Mass Customer,0,False,52 Carey Alley,4740,5
23,Olav,Polak,Male,1995-02-10,,,High Net Worth,0,True,96 Texas Plaza,3218,7
24,Kim,Skpsey,Female,1977-12-03,Research Assistant I,Agriculture,Mass Customer,0,True,48 Eagan Avenue,4868,4
25,Geoff,Assaf,Male,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,0,True,9 Buell Park,4116,7
26,Trixi,Ginnelly,Female,1978-06-10,Editor,Financial Services,Mass Customer,0,True,02663 Buell Parkway,2519,11
27,Garvin,Klees,Male,1978-09-25,Research Nurse,Health,Mass Customer,0,True,2294 Pleasure Place,2135,12
28,Fee,Zellmer,Male,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,0,True,2951 Petterle Place,2756,9
29,Mona,Sancraft,Female,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,0,False,63 Lukken Drive,2170,9
30,Darrick,Helleckas,Male,1961-10-18,,IT,Affluent Customer,0,True,833 Luster Way,4005,8
31,Star,Praton,Female,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,0,True,34 Russell Plaza,4127,6
32,Marion,Vanichkin,Female,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,0,False,78 Del Sol Hill,2535,8
33,Ernst,Hacon,Male,1957-06-25,Product Engineer,,Affluent Customer,0,True,54 Sage Plaza,4726,1
34,Jephthah,Bachmann,U,1843-12-21,Legal Assistant,IT,Affluent Customer,0,False,90 Lawn Parkway,4805,4
35,Margaretha,Strettle,Female,1963-09-28,Information Systems Manager,Health,High Net Worth,0,True,38726 Ilene Crossing,2212,10
36,Lurette,Stonnell,Female,1977-11-09,VP Quality Control,,Affluent Customer,0,False,3496 Brown Drive,2207,8
37,Laurie,Dwerryhouse,Female,1985-12-22,Social Worker,Health,High Net Worth,0,False,7188 Cody Way,3350,9
38,Cordi,Merman,Female,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,0,False,1 Claremont Park,3931,10
39,Hunfredo,Smalley,Male,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,0,False,60 Eagan Circle,4018,8
40,Tomasine,Jerche,Female,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,0,False,89314 Eagle Crest Center,4670,2
41,Basilius,Coupe,Male,1976-04-14,Food Chemist,Health,Mass Customer,0,False,2028 Lakewood Place,2480,3
42,Chiquita,Durnall,Female,1977-03-28,Accountant III,Manufacturing,Mass Customer,0,False,70875 Hudson Point,3212,6
43,Indira,Belt,Female,1983-03-01,Director of Sales,Retail,Mass Customer,0,False,543 Killdeer Park,2322,4
44,Neron,Verick,Male,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,0,True,22125 Ramsey Drive,3198,9
45,Trace,Woodhead,Male,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,0,False,3107 Calypso Terrace,2210,9
46,Kaila,Allin,Female,1972-02-26,,,Affluent Customer,0,True,957 Veith Junction,2047,10
47,Matthew,Jeaycock,Male,1992-10-22,Registered Nurse,Health,Affluent Customer,0,False,4853 Gulseth Avenue,4503,5
48,Rebbecca,Casone,Female,1975-08-15,Biostatistician II,,Mass Customer,0,True,9 Michigan Terrace,2145,8
49,Nolly,Ownsworth,Male,1994-01-26,VP Quality Control,,Affluent Customer,0,False,62 Steensland Road,4350,3
50,Whitby,Schapero,Male,1980-10-01,Account Executive,Manufacturing,Mass Customer,0,True,6 Homewood Avenue,2142,8
51,Fidelio,Dilke,Male,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,0,False,15 Almo Lane,2029,10
52,Curran,Bentson,Male,1988-06-22,,Financial Services,Mass Customer,0,True,690 Glacier Hill Circle,2127,10
53,Agnella,Gocke,Female,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,0,False,89787 Village Green Terrace,4280,6
54,Loralyn,Wonfor,Female,1966-07-24,Sales Associate,Property,Mass Customer,0,True,18 Elgar Park,2166,9
55,Linc,Jillions,Male,1956-09-24,Paralegal,Financial Services,Affluent Customer,0,True,413 Mayer Street,2046,9
56,Reese,Ensor,Male,1996-07-04,VP Sales,Property,Mass Customer,0,True,39 3rd Drive,2026,10
57,Abba,Masedon,Male,1988-06-13,Chief Design Engineer,,Mass Customer,0,True,44516 Katie Parkway,2765,7
58,Dalenna,Pinnock,Female,1967-07-04,Office Assistant III,Financial Services,Affluent Customer,0,True,41 Schurz Center,2749,8
59,Niki,Heathcote,Male,2000-02-08,Physical Therapy Assistant,,High Net Worth,0,False,68150 Boyd Road,2745,9
